ANO_LETIVO,CODIGO_CIE,CODIGO_INEP,CodigoDiretoria,NomeDiretoria,NomeEscola,NomeMunicipio,ANOS_INICIAIS,ANOS_FINAIS,ENSINO_MÉDIO
2019,9436,35009436,10606,SAO BERNARDO DO CAMPO,EDGAR ALVES DA CUNHA PROFESSOR,SAO CAETANO DO SUL,0.0000000000,2.8500000000,2.5100000000
2019,9441,35009441,10606,SAO BERNARDO DO CAMPO,ALFREDO BURKART PROFESSOR,SAO CAETANO DO SUL,0.0000000000,4.0100000000,3.0600000000
2019,9453,35009453,10606,SAO BERNARDO DO CAMPO,ALEXANDRE GRIGOLLI PADRE,SAO CAETANO DO SUL,0.0000000000,3.6500000000,2.5000000000
2019,9465,35009465,10606,SAO BERNARDO DO CAMPO,YOLANDA ASCENCIO PROFESSORA,SAO CAETANO DO SUL,0.0000000000,4.7100000000,3.5100000000
2019,9477,35009477,10606,SAO BERNARDO DO CAMPO,MARIA DA CONCEICAO MOURA BRANCO PROFESSORA,SAO CAETANO DO SUL,0.0000000000,4.5700000000,3.1500000000
2019,9573,35009573,10606,SAO BERNARDO DO CAMPO,BONIFACIO DE CARVALHO CORONEL,SAO CAETANO DO SUL,0.0000000000,3.3000000000,1.7900000000
2019,9581,35009581,10606,SAO BERNARDO DO CAMPO,IDALINA MACEDO COSTA SODRE DONA,SAO CAETANO DO SUL,0.0000000000,4.2300000000,3.1000000000
2019,9635,35009635,10701,CARAPICUIBA,MARIA ALICE CRISSIUMA MESQUITA DONA,CARAPICUIBA,5.2800000000,3.4700000000,0.0000000000
2019,9647,35009647,10701,CARAPICUIBA,FLORA STELLA PROFESSORA,CARAPICUIBA,5.6600000000,0.0000000000,0.0000000000
2019,9659,35009659,10701,CARAPICUIBA,BENEDITO DE LIMA TUCUNDUVA DOUTOR,CARAPICUIBA,0.0000000000,2.9800000000,2.3100000000
2019,9660,35009660,10701,CARAPICUIBA,ESMERALDA BECKER FREIRE DE CARVALHO PROFESSORA,CARAPICUIBA,5.0400000000,3.3800000000,2.1000000000
2019,9672,35009672,10701,CARAPICUIBA,JOSUE MATTOS DE AGUIAR,CARAPICUIBA,3.5800000000,3.4300000000,0.0000000000
2019,9696,35009696,10701,CARAPICUIBA,ALBERTO KENWORTHY,CARAPICUIBA,6.5900000000,3.7800000000,0.0000000000
2019,9702,35009702,10701,CARAPICUIBA,OSVALDO ELCI PROFESSOR,CARAPICUIBA,5.8300000000,0.0000000000,0.0000000000
