ANO_LETIVO;CODIGO_CIE;CODIGO_INEP;CODIGO_DIRETORIA;NOME_DIRETORIA;NOME_ESCOLA;NOME_MUNICIPIO;ANOS_INICIAIS;ANOS_FINAIS;ENSINO_MEDIO
2018;34769;35034769;21101;MIRACATU;JEREMIAS JUNIOR CORONEL;IGUAPE;;;3.1300000000
2018;20285;35020285;20409;MOGI MIRIM;GERALDO SORG PROF;MOGI GUACU;;;2.6300000000
2018;14497;35014497;20302;AVARE;JOAO CRUZ CORONEL;AVARE;;3.6100000000;2.6200000000
2018;918489;35918489;20302;AVARE;CELSO FERREIRA DA SILVA PROFESSOR;AVARE;;2.8700000000;
2018;26682;35026682;20701;CATANDUVA;NICOLA MASTROCOLA;CATANDUVA;;4.8100000000;3.3700000000
2018;26530;35026530;20701;CATANDUVA;VITORINO PEREIRA PROFESSOR;CATANDUVA;;2.8900000000;2.6000000000
2018;21532;35021532;20411;PIRASSUNUNGA;DJALMA FORJAZ DOUTOR;PORTO FERREIRA;;3.5500000000;4.0600000000
2018;43515;35043515;20409;MOGI MIRIM;ROMEU DE CAMPOS VERGAL DEP;SERRA NEGRA;4.4100000000;;
2018;920083;35920083;20419;CAPIVARI;ANNUNZIATTA LEONILDA VIRGINELLI PRADO PROFESSORA;INDAIATUBA;;4.2600000000;2.7200000000
2018;909415;35909415;20419;CAPIVARI;CARLOS TANCLER PROFESSOR;INDAIATUBA;;3.9500000000;2.5900000000
2018;35257;35035257;20306;ITU;SALATHIEL VAZ DE TOLEDO PROF;ITU;;2.6800000000;2.1400000000
2018;15660;35015660;20306;ITU;FRANCISCO NARDY FILHO;ITU;;2.8100000000;1.8100000000
2018;17656;35017656;20409;MOGI MIRIM;SYLVIO DE AGUIAR MAYA DR;PEDREIRA;;3.8800000000;2.2700000000
2018;30296;35030296;20804;PENAPOLIS;LUIZ CHRISOSTOMO DE OLIVEIRA;PENAPOLIS;6.5000000000;;
2018;31963;35031963;20904;PRESIDENTE PRUDENTE;TANNEL ABBUD COMENDADOR;PRESIDENTE PRUDENTE;;2.8800000000;2.9700000000
2018;907911;35907911;20411;PIRASSUNUNGA;IGNEZ GIARETTA SGUERRA PROFESSORA;SANTA RITA DO PASSA QUATRO;;3.4200000000;3.1600000000
2018;901283;35901283;20407;JUNDIAI;PEDRO YOSHICHIKA IRIE;LOUVEIRA;;4.8400000000;
2018;920587;35920587;20602;JAU;OSMAR FRANCISCO DA CONCEICAO DOUTOR;MACATUBA;;3.4700000000;2.8800000000
